id,activity
3,Mushing/Skijoring
5,Mountain/Road Biking
7,Camping
8,RV Camping
9,Group Camping
11,Cabin Rentals
12,Rock/Mountain Climbing
14,Fishing
18,Trailhead
19,Hiking
21,Horse Riding
22,Horse Camping
27,Viewing Wildlife
28,Viewing Plants
30,Viewing Scenery
31,OHV Riding/Camping
35,Visitor Programs
36,Interpretive Areas
37,Visitor Centers
38,Picnicking
39,Group Picnicking
44,Scenic Driving
45,Boating - Motorized
46,Boating - Non-Motorized
49,Swimming
52,Windsurfing
54,Sledding/Tubing
55,Skiing/Snowboarding
57,XC Skiing/Snowshoeing
58,Snowmobiling
62,Geocaching & Letterboxing
63,Target Shooting
