rec_id,activity_id
52776,3
52776,5
52776,7
52776,7
52776,8
52776,9
52776,11
52776,14
52776,14
52776,19
52776,19
52776,21
52776,22
52776,27
52776,28
52776,30
52776,36
52776,38
52776,45
52776,46
52776,49
52776,54
52776,55
52776,57
52776,58
52778,3
52778,5
52778,7
52778,8
52778,9
52778,11
52778,12
52778,14
52778,14
52778,19
52778,19
52778,21
52778,22
52778,27
52778,28
52778,30
52778,36
52778,38
52778,44
52778,45
52778,46
52778,49
52778,54
52778,55
52778,57
52778,58
52782,14
52782,19
52782,18
52784,7
52784,14
52784,14
52784,19
52784,19
52784,21
52784,46
52784,49
52786,7
52786,14
52786,38
52786,39
52790,7
52790,14
52790,19
52790,19
52790,21
52790,22
52790,38
52792,5
52792,7
52792,7
52792,19
52792,19
52792,21
52792,38
52800,7
52800,14
52800,19
52800,19
52800,28
52800,38
52802,5
52802,7
52802,19
52802,19
52802,21
52802,18
52806,7
52806,14
52806,19
52806,19
52806,38
52810,5
52810,19
52810,19
52810,28
52810,38
52810,18
52812,7
52812,19
52812,19
52812,38
52814,5
52814,11
52814,19
52814,21
52814,27
52814,30
52814,38
52814,58
52816,19
52816,21
52816,27
52816,30
52816,38
52818,5
52818,7
52818,14
52818,19
52818,19
52818,38
52824,7
52824,14
52824,19
52824,19
52824,38
52826,5
52826,7
52826,8
52826,19
52826,19
52826,21
52826,22
52826,28
52826,30
52826,38
52828,7
52828,14
52828,19
52828,19
52828,21
52828,27
52828,38
52830,19
52830,18
52832,7
52832,8
52832,14
52832,21
52832,38
52834,7
52834,8
52834,14
52834,19
52834,31
52834,31
52834,38
52838,7
52838,8
52838,14
52838,19
52838,38
52842,7
52842,8
52842,14
52842,19
52842,38
52842,45
52842,46
52842,49
52844,7
52844,8
52844,14
52844,27
52844,38
52848,19
52848,21
52848,18
52856,19
52856,36
52856,18
52866,19
52866,18
52868,19
52868,18
52870,19
52870,18
53058,7
53058,7
53058,14
53058,38
53058,45
53058,46
53058,49
53060,14
53060,38
53060,45
53060,46
53060,49
53062,7
53062,38
53062,46
53062,49
53066,19
53066,18
53068,5
53068,19
53068,21
53068,18
53070,19
53070,21
53070,28
53070,18
53072,19
53072,21
53072,18
53074,19
53074,18
53090,19
53090,18
53094,19
53094,18
53100,19
53100,18
53102,7
53102,14
53102,19
53102,19
53102,38
53102,46
53102,49
53104,19
53104,38
53104,46
53104,49
53104,18
53106,14
53106,38
53106,46
53106,49
53108,7
53108,8
53108,14
53108,19
53108,19
53108,38
53108,45
53108,46
53108,49
53118,5
53118,19
53118,21
53118,18
53120,5
53120,19
53120,21
53120,18
53128,19
53128,38
53128,18
53130,5
53130,19
53130,21
53130,30
53130,18
53132,19
53132,30
53132,18
53134,7
53134,38
53136,7
53136,38
53138,19
53138,57
53138,18
53140,19
53140,18
53142,3
53142,19
53142,57
53142,58
53142,18
53150,7
53150,38
53150,49
53152,5
53152,19
53152,21
53152,18
53154,19
53154,21
53154,18
53156,19
53156,21
53156,18
53160,19
53160,18
53162,11
53162,27
53162,30
53162,57
53162,58
53164,7
53164,19
53164,19
53164,38
53166,5
53166,5
53166,54
53166,55
53166,57
53176,19
53176,18
53178,5
53178,14
53178,19
53178,28
53178,18
53188,3
53188,19
53188,22
53188,57
53188,58
53188,18
53190,5
53190,19
53190,21
53190,22
53190,38
53200,7
53200,38
53204,19
53204,18
53214,7
53214,14
53214,19
53214,19
53214,38
53214,45
53214,46
53214,49
53216,5
53216,19
53216,18
53218,19
53218,18
53220,14
53220,19
53220,30
53220,38
53220,46
53220,49
53220,18
53228,5
53228,7
53228,8
53228,9
53228,14
53228,14
53228,19
53228,21
53228,30
53228,38
53228,46
53228,49
53248,30
53248,55
53248,57
53256,7
53256,14
53256,19
53256,38
53266,19
53266,19
53266,21
53266,18
53272,19
53272,18
53276,19
53276,57
53276,18
53280,7
53280,14
53280,19
53280,19
53280,38
53280,46
53282,19
53282,18
53284,5
53284,19
53284,21
53284,18
53294,7
53294,14
53294,19
53294,19
53294,38
53306,57
53310,7
53310,19
53310,19
53310,38
53322,7
53322,14
53322,19
53322,19
53322,38
53336,5
53336,19
53336,18
53338,7
53338,19
53338,30
53338,38
53346,5
53346,7
53346,8
53346,19
53348,19
53348,21
53348,18
53350,19
53350,19
53350,21
53350,18
53354,7
53354,8
53354,14
53354,19
53354,19
53354,21
53354,22
53354,46
53354,49
53358,5
53358,11
53358,14
53358,19
53358,21
53358,27
53358,28
53358,36
53358,46
53362,11
53362,19
53366,19
53366,18
53376,19
53376,57
53376,18
53386,7
53386,8
53386,14
53386,19
53386,19
53386,38
53392,7
53392,8
53392,14
53392,19
53392,19
53392,38
53392,45
53392,46
53392,49
53394,19
53394,19
53394,21
53394,18
53398,5
53398,19
53398,21
53398,18
53400,7
53400,21
53400,22
53410,5
53410,7
53410,8
53410,14
53410,19
53410,19
53412,19
53412,19
53412,36
53412,18
53418,7
53418,8
53418,14
53418,19
53418,19
53418,30
53420,19
53420,28
53420,36
53420,18
53424,7
53424,8
53424,14
53424,19
53424,19
53424,38
53426,7
53426,14
53426,19
53426,19
53426,38
53426,45
53426,46
53426,49
53436,7
53436,8
53436,14
53436,19
53436,19
53436,38
53436,45
53436,46
53436,49
53438,7
53438,8
53438,14
53438,19
53438,19
53438,38
53438,45
53438,46
53438,49
53446,19
53446,19
53446,18
53450,7
53450,8
53450,9
53450,14
53450,19
53450,19
53450,38
53450,45
53450,46
53450,49
53464,7
53464,14
53464,21
53464,22
53468,19
53468,19
53468,21
53468,28
53468,30
53468,38
53468,18
53472,5
53472,19
53472,19
53472,21
53472,18
53478,54
53478,55
53478,57
53478,58
53504,7
53504,8
53504,14
53504,19
53504,19
53504,38
53504,45
53504,46
53508,19
53508,45
53508,46
53508,49
53508,18
53512,7
53512,8
53512,14
53512,19
53512,38
53512,39
53524,19
53524,21
53524,18
53526,19
53526,18
53540,19
53540,19
53540,18
53542,14
53542,19
53542,19
53542,45
53542,46
53546,5
53546,19
53546,21
53546,28
53546,30
53546,18
53548,14
53548,19
53548,21
53548,38
53548,46
53548,49
53548,18
53550,19
53550,18
