name,iconurl,area,x,y,id,actlist
Alder Flat Trailhead,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-122.056297,45.080658,52872,"Day Hiking;019,Picnicking;038,River and Stream Fishing;014"
Alpine Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-121.705472,45.320261,53338,"Campground Camping;007,Day Hiking;019,Picnicking;038,Viewing Scenery;030"
Anthill Trail #406B,/Internet/FSE_MEDIA/fsbdev2_016633.png,mthood,-121.7928,45.5776,53130,"Day Hiking;019,Horse Riding;021,Mountain Biking;005,Viewing Scenery;030"
Armstrong Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-122.152211,45.162761,52878,"Boating - Non-Motorized;046,Campground Camping;007,Day Hiking;019,Mountain Biking;005,River and Stream Fishing;014"
Badger Creek Trailhead,/Internet/FSE_MEDIA/stelprdb5175876.png,mthood,-121.3908,45.2574,79496,"Backpacking;019,Day Hiking;019,Horse Riding;021"
Badger Lake Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-121.55537,45.30496,52784,"Backpacking;019,Boating - Non-Motorized;046,Campground Camping;007,Day Hiking;019,Horse Riding;021,Lake and Pond Fishing;014,River and Stream Fishing;014,Swimming;049"
Badger Lake Trail #479A,/Internet/FSE_MEDIA/stelprdb5175876.png,mthood,-121.5564,45.3038,52782,"Day Hiking;019,Lake and Pond Fishing;014"
Barlow Butte Trail #670,/Internet/FSE_MEDIA/fsbdev2_016634.png,mthood,-121.685508,45.282325,53132,"Day Hiking;019,Viewing Scenery;030"
Barlow Creek Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-121.62765,45.236,53134,"Campground Camping;007,Picnicking;038"
Barlow Crossing Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-121.61291,45.21788,53136,"Campground Camping;007,Picnicking;038"
Barlow Pass Sno-Park/Trailhead,/Internet/FSE_MEDIA/fsbdev2_016714.png,mthood,-121.684789,45.282969,53138,"Day Hiking;019,XC Skiing/Snowshoeing;057"
Barlow Ranger District,/Internet/FSE_MEDIA/fsbdev2_016717.png,mthood,-121.125126,45.457,52772,"Backpacking;019,Boating - Motorized;045,Boating - Non-Motorized;046,Cabin Rentals;011,Campground Camping;007,Day Hiking;019,Dispersed Camping;007,Horse Camping;022,Horse Riding;021,Lake and Pond Fishing;014,Mountain Biking;005,Mushing/Skijoring;003,Picnicking;038,RV Camping;008,River and Stream Fishing;014,Skiing/Snowboarding;055,Snowmobiling;058,Swimming;049,Viewing Plants;028,Viewing Scenery;030,Viewing Wildlife;027,XC Skiing/Snowshoeing;057"
Bear Lake Trail #413A,/Internet/FSE_MEDIA/fsbdev2_016633.png,mthood,-121.7421,45.6365,53140,Day Hiking;019
Bear Springs Group Campground,/Internet/FSE_MEDIA/fsbdev2_016657.png,mthood,-121.53091,45.11665,52786,"Campground Camping;007,Group Picnicking;039,Picnicking;038,River and Stream Fishing;014"
Bear Springs Shelter/Day Use,/Internet/FSE_MEDIA/fsbdev2_016610.png,mthood,-121.129769,45.11625,52846,"Group Picnicking;039,Picnicking;038,River and Stream Fishing;014"
