trail_id,trail_type_id
1,1
1,2
2,1
2,2
3,1
3,2
4,5
4,7
5,1
5,2
6,5
6,7
7,1
7,2
8,5
8,7
9,1
9,2
10,1
10,2
11,5
11,7
12,5
12,7
13,2
13,3
14,2
14,3
15,2
15,3
16,1
16,2
16,3
17,1
17,2
17,3
18,2
18,3
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
29,3
30,2
31,2
32,2
32,3
33,2
33,3
34,2
35,2
36,2
36,3
37,1
37,2
38,1
38,2
39,2
39,3
40,2
41,2
41,3
42,2
43,2
43,3
44,2
44,3
45,2
45,3
46,2
47,2
48,2
48,3
49,2
49,3
50,2
51,2
52,2
52,3
53,2
54,2
54,3
55,2
56,2
57,2
58,2
58,3
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,1
84,2
85,1
85,2
86,1
86,2
87,1
87,2
88,1
88,2
89,1
89,2
90,1
90,2
91,1
91,2
92,2
93,2
94,2
95,2
95,3
96,2
97,1
97,2
98,1
98,2
99,2
100,1
100,2
101,1
101,2
101,5
101,7
102,2
103,1
103,2
104,2
105,2
106,2
107,2
108,2
109,1
109,2
110,2
111,1
111,2
111,3
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,1
120,2
121,1
121,2
122,1
122,2
123,1
123,2
124,2
125,2
126,1
126,2
127,2
128,1
128,2
129,2
130,2
131,2
131,3
132,2
132,3
133,2
133,3
134,2
134,3
135,1
135,2
136,2
136,3
137,2
137,3
138,1
138,2
139,1
139,2
140,1
140,2
141,2
142,2
143,2
143,3
144,2
144,3
145,1
145,2
145,5
145,7
146,1
146,2
146,5
146,7
147,2
148,2
149,2
149,3
150,1
150,2
150,3
151,2
151,3
152,2
152,3
153,1
153,2
153,3
154,2
155,2
156,2
157,2
157,3
158,2
159,2
160,2
160,3
161,2
161,3
162,2
163,2
164,2
165,1
165,2
166,1
166,2
167,1
167,2
167,3
168,1
168,2
169,2
170,1
170,2
170,3
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1
187,2
188,2
189,1
189,2
190,2
191,2
192,1
192,2
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,2
218,2
218,3
219,2
219,3
219,5
219,7
220,2
220,5
220,7
221,2
222,2
223,2
224,2
225,1
225,2
226,1
226,2
227,1
227,2
228,1
228,2
229,1
229,2
230,1
230,2
231,1
231,2
232,2
233,1
233,2
234,2
235,2
235,3
236,2
237,2
238,1
238,2
239,2
240,2
241,2
241,3
242,2
243,2
244,1
244,2
245,1
245,2
246,2
246,5
246,7
247,2
248,2
249,2
250,2
250,3
251,2
251,3
252,2
252,3
252,5
252,7
253,2
254,2
255,2
256,1
256,2
256,3
257,2
258,2
259,1
259,2
260,2
260,3
261,2
261,3
262,2
263,2
264,2
265,2
266,2
267,1
267,2
268,2
269,2
270,2
271,2
271,3
272,2
273,1
273,2
274,1
274,2
274,3
275,1
275,2
275,3
276,1
276,2
276,3
277,1
277,2
278,1
278,2
278,3
279,2
280,1
280,2
281,2
281,3
282,1
282,2
283,2
283,3
284,1
284,2
284,3
285,1
285,2
286,2
287,1
287,2
288,1
288,2
289,2
290,2
291,1
291,2
292,1
292,2
293,1
293,2
294,1
294,2
295,1
295,2
296,1
296,2
297,2
297,3
298,1
298,2
299,1
299,2
300,1
300,2
301,1
301,2
302,1
302,2
303,1
303,2
304,1
304,2
305,1
305,2
306,1
306,2
307,1
307,2
308,1
308,2
309,1
309,2
310,1
310,2
311,1
311,2
312,1
312,2
313,1
313,2
314,1
314,2
315,1
315,2
316,1
316,2
317,1
317,2
318,1
318,2
319,1
319,2
320,1
320,2
321,1
321,2
322,1
322,2
323,1
323,2
324,1
324,2
325,1
325,2
326,1
326,2
327,1
327,2
328,1
328,2
329,1
329,2
330,1
330,2
331,1
331,2
332,1
332,2
333,1
333,2
334,1
334,2
335,1
335,2
336,1
336,2
337,1
337,2
338,1
338,2
339,1
339,2
340,1
340,2
341,1
341,2
342,1
342,2
343,1
343,2
344,1
344,2
345,1
345,2
346,1
346,2
347,1
347,2
348,1
348,2
349,1
349,2
350,1
350,2
351,1
351,2
352,1
352,2
353,1
353,2
354,1
354,2
355,1
355,2
356,1
356,2
357,1
357,2
358,1
358,2
359,1
359,2
360,1
360,2
361,1
361,2
362,2
363,2
364,1
364,2
365,1
365,2
366,2
367,2
368,1
368,2
368,3
369,2
369,3
370,2
371,2
371,3
372,2
373,2
374,2
374,3
375,1
375,2
375,3
376,2
377,1
377,2
378,1
378,2
378,3
379,1
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
389,3
390,1
390,2
391,1
391,2
392,1
392,2
393,1
393,2
393,5
393,7
394,1
394,2
394,5
394,7
395,1
395,2
395,5
395,7
396,2
396,3
397,2
397,5
397,7
398,2
399,1
399,2
399,3
400,2
401,2
401,3
402,2
403,2
404,2
405,2
405,3
406,2
406,3
407,2
407,3
408,1
408,2
409,2
410,2
411,2
411,3
412,2
412,3
413,1
413,2
414,2
415,2
415,3
416,2
417,2
418,2
419,2
419,3
420,2
421,2
422,2
423,2
424,2
425,2
425,3
426,2
426,3
427,2
428,2
428,3
429,2
430,2
430,3
431,2
432,2
432,3
433,1
433,2
434,1
434,2
434,3
435,2
436,2
437,2
438,2
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,5
469,7
470,6
471,2
471,5
471,7
472,2
472,5
472,7
473,2
473,5
473,7
474,5
474,7
475,5
475,7
476,5
476,7
477,5
477,7
478,5
478,7
479,6
480,1
480,2
481,5
481,7
482,2
482,5
482,7
483,2
483,5
483,7
484,2
484,5
484,7
485,2
485,5
485,7
486,2
486,5
486,7
487,2
487,5
487,7
488,2
489,2
489,5
489,7
490,2
490,5
490,7
491,5
491,7
492,5
492,7
493,2
493,5
493,7
494,5
494,7
495,5
495,7
496,5
496,7
497,5
497,7
498,5
498,7
499,1
499,2
499,5
499,7
500,2
500,5
500,7
501,1
501,2
502,2
502,5
502,7
503,5
503,7
504,2
504,5
504,7
505,5
505,7
506,2
506,5
506,7
507,5
507,7
508,5
508,7
509,6
510,6
511,6
512,6
513,6
514,6
515,6
516,6
517,6
518,5
518,7
519,1
519,2
519,5
519,7
520,5
520,7
521,1
521,2
521,5
521,7
522,1
522,2
522,5
522,7
523,1
523,2
523,5
523,7
524,5
524,7
525,2
525,5
525,7
526,2
526,5
526,7
527,6
528,6
529,6
530,6
531,6
532,6
533,6
534,6
535,6
536,11
537,11
538,11
539,11
540,11
541,11
542,11
543,11
544,11
545,11
546,11
547,11
548,11
549,5
550,5
551,8
552,5
553,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,9
563,9
564,9
565,9
566,9
567,9
568,10
569,9
570,10
571,9
572,9
573,9
574,9
575,9
576,10
577,9
578,9
579,9
580,9
581,9
582,9
583,9
584,9
585,9
586,9
587,9
588,9
589,9
590,9
591,9
592,9
593,9
594,9
595,9
596,9
597,9
598,9
599,9
600,9
601,9
602,9
603,9
604,9
605,9
606,9
607,9
608,9
609,9
610,9
611,9
612,9
613,9
614,9
615,9
616,9
617,9
618,9
619,9
620,9
621,9
622,9
623,9
624,9
625,9
626,9
627,9
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
648,9
649,9
650,9
651,9
652,9
653,9
654,9
655,9
656,9
657,9
658,9
659,9
660,9
661,9
662,9
663,9
664,9
665,9
666,9
667,9
668,9
669,9
670,9
671,9
672,9
673,9
674,9
675,9
676,9
677,9
678,9
679,9
680,9
681,9
682,9
683,5
684,5
685,5
686,5
687,5
688,5
689,5
690,5
691,5
692,5
693,5
694,5
695,9
696,9
697,9
698,9
699,9
700,9
701,9
702,9
703,9
704,9
705,9
706,9
707,9
708,9
709,9
710,9
711,9
712,9
713,9
714,9
715,9
716,9
717,9
718,9
719,9
720,9
721,9
722,9
723,9
724,9
725,9
726,9
727,9
728,9
729,9
730,9
731,9
732,9
733,9
734,9
735,9
736,9
737,9
738,9
739,9
740,9
741,9
742,9
743,9
744,9
745,5
746,5
747,5
748,5
749,8
750,5
751,5
752,5
753,9
754,9
755,9
756,9
757,9
758,9
759,9
760,9
761,9
762,9
763,9
764,9
765,9
766,9
767,9
768,9
769,9
770,9
771,9
772,10
773,9
774,9
775,9
776,9
777,9
778,9
779,9
780,9
781,9
782,9
783,9
785,8
787,8
788,8
789,5
790,5
791,5
792,5
793,5
794,5
795,8
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,9
845,5
846,5
847,5
848,5
849,5
850,5
851,5
852,5
853,5
854,5
